MaLich,MaCB,SoHieuMB,ThoiGianDi,ThoiGianDen,TrangThai
LB000033,CB000474,MB0027,2025-10-02 18:15:00,2025-10-03 02:00:00,Dung gio
LB000034,CB000279,MB0025,2025-10-25 04:30:00,2025-10-25 19:06:00,Dung gio
LB000035,CB000037,MB0010,2024-06-18 09:30:00,2024-06-18 17:29:00,Dung gio
LB000036,CB000240,MB0073,2024-11-07 22:45:00,2024-11-08 03:53:00,Huy
LB000037,CB000277,MB0054,2025-03-24 02:00:00,2025-03-24 17:40:00,Tre
LB000038,CB000377,MB0033,2025-09-10 08:00:00,2025-09-10 10:03:00,Dung gio
LB000039,CB000493,MB0071,2025-08-12 18:00:00,2025-08-13 07:33:00,Dung gio
LB000040,CB000296,MB0005,2024-06-28 15:45:00,2024-06-28 20:59:00,Dung gio
LB000041,CB000300,MB0048,2025-10-12 15:00:00,2025-10-12 23:31:00,Dung gio
LB000042,CB000210,MB0037,2024-11-24 21:00:00,2024-11-25 12:08:00,Dung gio
LB000043,CB000169,MB0047,2025-12-11 15:30:00,2025-12-12 03:18:00,Tre
LB000044,CB000417,MB0078,2025-07-17 01:45:00,2025-07-17 03:45:00,Dung gio
LB000045,CB000130,MB0033,2024-04-28 12:00:00,2024-04-28 23:43:00,Huy
LB000046,CB000237,MB0047,2024-02-25 06:30:00,2024-02-25 17:37:00,Tre
LB000047,CB000321,MB0050,2024-02-22 06:30:00,2024-02-22 16:22:00,Dung gio
LB000048,CB000475,MB0031,2025-03-24 22:45:00,2025-03-25 01:19:00,Dung gio
LB000049,CB000499,MB0065,2025-09-15 07:15:00,2025-09-15 13:03:00,Huy
LB000050,CB000008,MB0060,2025-02-21 02:15:00,2025-02-21 17:06:00,Dung gio
LB000051,CB000237,MB0016,2025-10-25 04:45:00,2025-10-25 17:28:00,Dung gio
LB000052,CB000261,MB0074,2024-10-06 13:45:00,2024-10-06 22:18:00,Dung gio
LB000053,CB000234,MB0060,2024-05-28 12:15:00,2024-05-28 22:58:00,Huy
LB000054,CB000383,MB0093,2024-05-19 02:30:00,2024-05-19 16:11:00,Tre
LB000055,CB000175,MB0084,2025-06-03 08:00:00,2025-06-03 13:19:00,Dung gio
LB000056,CB000429,MB0062,2025-08-16 21:45:00,2025-08-17 13:01:00,Dung gio
LB000057,CB000229,MB0059,2025-05-10 11:30:00,2025-05-10 21:25:00,Huy
LB000058,CB000194,MB0052,2024-11-25 06:15:00,2024-11-25 16:30:00,Tre
LB000059,CB000120,MB0091,2025-02-24 01:30:00,2025-02-24 14:42:00,Tre
LB000060,CB000362,MB0100,2025-01-25 12:15:00,2025-01-25 21:12:00,Dung gio
LB000061,CB000065,MB0056,2025-08-27 10:00:00,2025-08-28 01:25:00,Tre
LB000062,CB000052,MB0057,2025-04-12 00:15:00,2025-04-12 07:44:00,Dung gio
LB000063,CB000039,MB0053,2024-09-28 10:45:00,2024-09-28 22:20:00,Dung gio
LB000064,CB000437,MB0037,2025-11-21 17:45:00,2025-11-21 23:39:00,Tre
LB000065,CB000447,MB0059,2024-02-06 19:00:00,2024-02-06 23:30:00,Dung gio
LB000066,CB000117,MB0077,2024-04-02 13:00:00,2024-04-03 02:28:00,Dung gio
LB000067,CB000228,MB0021,2025-12-11 09:00:00,2025-12-11 10:17:00,Dung gio
LB000068,CB000408,MB0010,2024-10-27 11:30:00,2024-10-27 19:21:00,Dung gio
LB000069,CB000126,MB0057,2025-02-25 18:15:00,2025-02-25 21:39:00,Dung gio
LB000070,CB000041,MB0064,2025-01-26 19:15:00,2025-01-27 04:14:00,Huy
LB000071,CB000074,MB0025,2025-04-17 20:30:00,2025-04-18 04:50:00,Dung gio
LB000072,CB000342,MB0001,2025-04-21 09:15:00,2025-04-21 11:00:00,Tre
LB000073,CB000484,MB0041,2025-08-24 09:45:00,2025-08-24 22:01:00,Dung gio
LB000074,CB000234,MB0091,2024-11-05 06:45:00,2024-11-05 21:48:00,Tre
LB000075,CB000055,MB0026,2025-01-25 18:30:00,2025-01-26 04:48:00,Dung gio
LB000076,CB000359,MB0031,2024-01-23 21:45:00,2024-01-24 02:56:00,Dung gio
LB000077,CB000290,MB0092,2025-12-03 23:00:00,2025-12-04 09:50:00,Tre
LB000078,CB000427,MB0096,2024-10-20 07:30:00,2024-10-20 11:44:00,Dung gio
LB000079,CB000318,MB0027,2025-11-25 23:15:00,2025-11-26 10:28:00,Dung gio
LB000080,CB000463,MB0065,2025-10-23 01:30:00,2025-10-23 15:27:00,Tre
LB000081,CB000018,MB0062,2025-01-08 23:15:00,2025-01-09 01:17:00,Dung gio
LB000082,CB000168,MB0077,2025-03-01 05:15:00,2025-03-01 08:00:00,Huy
LB000083,CB000449,MB0043,2025-06-27 16:30:00,2025-06-28 07:10:00,Dung gio
LB000084,CB000132,MB0100,2025-05-08 09:30:00,2025-05-08 23:43:00,Dung gio
LB000085,CB000240,MB0012,2024-05-24 07:45:00,2024-05-24 22:41:00,Huy
LB000086,CB000188,MB0013,2025-02-08 00:30:00,2025-02-08 10:09:00,Dung gio
LB000087,CB000233,MB0043,2025-11-19 23:30:00,2025-11-20 09:58:00,Tre
LB000088,CB000422,MB0065,2025-01-15 03:15:00,2025-01-15 11:47:00,Dung gio
LB000089,CB000318,MB0093,2025-07-28 10:15:00,2025-07-28 21:48:00,Dung gio
LB000090,CB000326,MB0089,2025-04-20 22:30:00,2025-04-21 10:04:00,Tre
LB000091,CB000060,MB0017,2024-02-16 01:30:00,2024-02-16 10:24:00,Dung gio
LB000092,CB000050,MB0026,2025-07-04 04:45:00,2025-07-04 12:59:00,Dung gio
LB000093,CB000344,MB0077,2025-12-14 17:45:00,2025-12-15 04:16:00,Dung gio
LB000094,CB000454,MB0047,2025-11-01 03:45:00,2025-11-01 14:45:00,Tre
LB000095,CB000481,MB0028,2024-02-03 22:30:00,2024-02-04 02:42:00,Tre
LB000096,CB000228,MB0026,2025-01-06 03:30:00,2025-01-06 13:17:00,Dung gio
LB000097,CB000032,MB0045,2024-10-09 06:00:00,2024-10-09 20:58:00,Tre
LB000098,CB000047,MB0070,2024-08-05 20:00:00,2024-08-05 21:21:00,Dung gio
LB000099,CB000125,MB0017,2025-08-01 06:00:00,2025-08-01 20:39:00,Huy
LB000100,CB000107,MB0062,2024-08-09 07:30:00,2024-08-09 21:12:00,Dung gio
LB000101,CB000404,MB0096,2025-09-02 00:30:00,2025-09-02 15:39:00,Dung gio
LB000102,CB000067,MB0059,2024-09-13 05:00:00,2024-09-13 16:46:00,Dung gio
LB000103,CB000068,MB0001,2025-01-01 07:30:00,2025-01-01 08:16:00,Dung gio
LB000104,CB000136,MB0010,2024-05-09 23:45:00,2024-05-10 09:13:00,Dung gio
LB000105,CB000382,MB0012,2025-05-02 14:30:00,2025-05-02 23:45:00,Huy
LB000106,CB000056,MB0050,2025-05-30 07:00:00,2025-05-30 19:54:00,Huy
LB000107,CB000155,MB0052,2025-10-20 00:00:00,2025-10-20 08:40:00,Tre
LB000108,CB000219,MB0071,2024-04-20 15:45:00,2024-04-20 17:30:00,Dung gio
LB000109,CB000165,MB0063,2024-05-31 02:15:00,2024-05-31 07:26:00,Huy
LB000110,CB000325,MB0062,2025-07-15 22:30:00,2025-07-16 05:30:00,Huy
LB000111,CB000272,MB0031,2025-04-09 16:45:00,2025-04-09 18:56:00,Dung gio
LB000112,CB000437,MB0067,2025-10-28 17:15:00,2025-10-29 01:05:00,Tre
LB000113,CB000455,MB0025,2025-02-27 10:45:00,2025-02-27 18:03:00,Tre
LB000114,CB000374,MB0015,2024-11-16 13:30:00,2024-11-17 01:21:00,Dung gio
LB000115,CB000192,MB0020,2025-12-04 15:00:00,2025-12-04 17:03:00,Dung gio
LB000116,CB000048,MB0048,2024-04-08 23:30:00,2024-04-09 13:51:00,Dung gio
LB000117,CB000285,MB0010,2025-08-23 17:30:00,2025-08-24 05:26:00,Dung gio
LB000118,CB000211,MB0041,2025-11-12 13:00:00,2025-11-12 18:24:00,Huy
LB000119,CB000160,MB0041,2024-04-16 18:15:00,2024-04-16 21:23:00,Tre
LB000120,CB000115,MB0091,2024-04-20 11:30:00,2024-04-20 13:57:00,Dung gio
LB000121,CB000294,MB0025,2025-03-15 17:00:00,2025-03-16 03:53:00,Dung gio
LB000122,CB000015,MB0022,2024-10-06 22:30:00,2024-10-07 04:47:00,Dung gio
LB000123,CB000004,MB0022,2024-05-26 18:45:00,2024-05-26 20:26:00,Dung gio
LB000124,CB000380,MB0065,2024-02-01 02:15:00,2024-02-01 09:10:00,Tre
LB000125,CB000233,MB0037,2024-06-10 11:30:00,2024-06-11 00:18:00,Dung gio
LB000126,CB000398,MB0061,2025-09-02 02:00:00,2025-09-02 05:09:00,Dung gio
LB000127,CB000387,MB0064,2024-02-20 21:00:00,2024-02-21 02:08:00,Tre
LB000128,CB000339,MB0048,2025-05-12 19:45:00,2025-05-13 03:19:00,Dung gio
LB000129,CB000111,MB0078,2025-06-08 03:30:00,2025-06-08 11:20:00,Dung gio
LB000130,CB000146,MB0071,2025-11-25 18:45:00,2025-11-26 04:14:00,Dung gio
LB000131,CB000024,MB0025,2025-02-08 19:00:00,2025-02-08 19:37:00,Dung gio
LB000132,CB000155,MB0024,2024-05-20 08:30:00,2024-05-20 14:35:00,Dung gio
LB000133,CB000004,MB0054,2025-03-16 05:15:00,2025-03-16 12:14:00,Huy
LB000134,CB000361,MB0025,2025-05-27 17:30:00,2025-05-27 19:13:00,Tre
LB000135,CB000442,MB0077,2024-02-13 13:00:00,2024-02-13 21:20:00,Dung gio
LB000136,CB000442,MB0033,2025-08-12 13:45:00,2025-08-13 02:21:00,Tre
LB000137,CB000149,MB0016,2025-02-18 00:30:00,2025-02-18 03:55:00,Huy
LB000138,CB000236,MB0090,2025-12-07 11:00:00,2025-12-07 18:57:00,Dung gio
LB000139,CB000125,MB0048,2025-08-26 12:00:00,2025-08-26 19:15:00,Dung gio
LB000140,CB000382,MB0037,2024-08-14 10:15:00,2024-08-14 12:03:00,Huy
LB000141,CB000325,MB0016,2025-06-27 16:15:00,2025-06-28 08:12:00,Dung gio
LB000142,CB000180,MB0076,2025-10-22 04:15:00,2025-10-22 06:30:00,Dung gio
LB000143,CB000132,MB0023,2024-06-26 19:15:00,2024-06-27 08:43:00,Dung gio
LB000144,CB000091,MB0081,2025-10-05 15:45:00,2025-10-06 05:07:00,Huy
LB000145,CB000390,MB0062,2025-04-04 21:30:00,2025-04-05 12:44:00,Dung gio
LB000146,CB000078,MB0050,2024-03-10 15:45:00,2024-03-11 03:01:00,Dung gio
LB000147,CB000408,MB0028,2025-08-28 01:30:00,2025-08-28 10:39:00,Dung gio
LB000148,CB000159,MB0052,2025-04-07 01:00:00,2025-04-07 07:47:00,Dung gio
LB000149,CB000040,MB0067,2024-04-02 19:45:00,2024-04-03 04:08:00,Huy
LB000150,CB000284,MB0084,2024-02-12 14:15:00,2024-02-12 20:14:00,Huy
LB000151,CB000244,MB0056,2024-06-03 01:45:00,2024-06-03 04:00:00,Dung gio
LB000152,CB000366,MB0013,2025-05-31 20:15:00,2025-05-31 21:25:00,Dung gio
LB000153,CB000363,MB0050,2025-03-25 16:15:00,2025-03-25 22:57:00,Dung gio
LB000154,CB000470,MB0031,2025-01-31 13:30:00,2025-02-01 01:35:00,Huy
LB000155,CB000027,MB0084,2025-10-08 20:30:00,2025-10-08 22:07:00,Dung gio
LB000156,CB000049,MB0060,2025-11-25 12:30:00,2025-11-25 17:18:00,Huy
LB000157,CB000448,MB0020,2024-12-07 02:15:00,2024-12-07 08:43:00,Dung gio
LB000158,CB000496,MB0067,2025-12-16 21:45:00,2025-12-17 00:27:00,Huy
LB000159,CB000363,MB0013,2024-11-13 17:45:00,2024-11-14 05:13:00,Dung gio
LB000160,CB000417,MB0017,2025-11-17 22:00:00,2025-11-18 09:31:00,Tre
LB000161,CB000261,MB0043,2024-01-19 11:30:00,2024-01-19 15:04:00,Dung gio
LB000162,CB000175,MB0081,2025-05-12 06:15:00,2025-05-12 09:05:00,Dung gio
LB000163,CB000040,MB0031,2024-04-13 16:00:00,2024-04-14 03:47:00,Dung gio
LB000164,CB000449,MB0081,2025-09-24 04:45:00,2025-09-24 07:52:00,Dung gio
LB000165,CB000093,MB0090,2025-12-10 19:15:00,2025-12-11 08:03:00,Tre
LB000166,CB000023,MB0047,2025-01-08 21:15:00,2025-01-09 05:19:00,Huy
LB000167,CB000146,MB0078,2025-04-04 07:15:00,2025-04-04 13:01:00,Tre
LB000168,CB000463,MB0090,2024-07-17 11:45:00,2024-07-17 20:07:00,Dung gio
LB000169,CB000399,MB0044,2025-05-29 16:45:00,2025-05-29 20:00:00,Dung gio
LB000170,CB000411,MB0063,2024-05-21 08:00:00,2024-05-21 19:26:00,Tre
LB000171,CB000448,MB0043,2025-07-21 03:00:00,2025-07-21 08:21:00,Dung gio
LB000172,CB000391,MB0021,2024-10-06 14:15:00,2024-10-07 04:55:00,Tre
LB000173,CB000047,MB0100,2024-08-15 14:30:00,2024-08-15 15:27:00,Tre
LB000174,CB000028,MB0045,2025-05-29 11:15:00,2025-05-29 18:20:00,Dung gio
LB000175,CB000192,MB0025,2024-01-29 10:00:00,2024-01-30 00:49:00,Dung gio
LB000176,CB000406,MB0020,2024-05-20 01:30:00,2024-05-20 16:09:00,Tre
LB000177,CB000357,MB0090,2024-05-22 22:45:00,2024-05-23 06:54:00,Huy
LB000178,CB000003,MB0096,2024-03-22 00:30:00,2024-03-22 04:40:00,Dung gio
LB000179,CB000281,MB0076,2025-09-15 16:45:00,2025-09-15 19:08:00,Dung gio
LB000180,CB000122,MB0032,2024-05-04 01:15:00,2024-05-04 08:54:00,Huy
LB000181,CB000235,MB0012,2024-04-23 15:00:00,2024-04-24 02:17:00,Huy
LB000182,CB000295,MB0026,2024-05-27 09:45:00,2024-05-27 10:16:00,Huy
LB000183,CB000181,MB0026,2025-08-07 13:15:00,2025-08-08 01:05:00,Dung gio
LB000184,CB000269,MB0043,2024-03-10 16:00:00,2024-03-10 23:09:00,Tre
LB000185,CB000023,MB0065,2025-01-31 11:30:00,2025-02-01 00:45:00,Dung gio
LB000186,CB000183,MB0084,2024-03-10 11:15:00,2024-03-11 00:15:00,Dung gio
LB000187,CB000396,MB0062,2024-12-06 04:00:00,2024-12-06 10:30:00,Huy
LB000188,CB000174,MB0089,2025-10-20 05:45:00,2025-10-20 18:07:00,Tre
LB000189,CB000324,MB0022,2024-05-18 02:45:00,2024-05-18 03:52:00,Dung gio
LB000190,CB000104,MB0005,2024-07-23 01:30:00,2024-07-23 07:17:00,Huy
LB000191,CB000204,MB0089,2025-07-10 15:30:00,2025-07-10 16:37:00,Dung gio
LB000192,CB000147,MB0041,2024-02-18 20:30:00,2024-02-19 01:39:00,Dung gio
LB000193,CB000410,MB0043,2025-03-23 12:45:00,2025-03-24 04:31:00,Tre
LB000194,CB000174,MB0022,2025-05-23 22:45:00,2025-05-24 05:31:00,Huy
LB000195,CB000137,MB0087,2024-03-25 23:45:00,2024-03-26 01:35:00,Tre
LB000196,CB000309,MB0089,2024-07-03 17:30:00,2024-07-03 23:28:00,Dung gio
LB000197,CB000041,MB0033,2025-11-07 09:30:00,2025-11-07 17:36:00,Huy
LB000198,CB000368,MB0048,2024-06-19 22:45:00,2024-06-20 05:14:00,Tre
LB000199,CB000022,MB0076,2024-12-27 19:45:00,2024-12-28 00:56:00,Dung gio
LB000200,CB000039,MB0070,2025-10-14 12:30:00,2025-10-14 21:45:00,Dung gio
LB000201,CB000488,MB0002,2024-05-26 19:45:00,2024-05-26 20:50:00,Dung gio
LB000202,CB000035,MB0026,2025-10-22 11:30:00,2025-10-22 18:32:00,Huy
LB000203,CB000017,MB0063,2024-06-06 21:45:00,2024-06-07 04:34:00,Dung gio
LB000204,CB000228,MB0078,2024-03-19 18:15:00,2024-03-20 03:47:00,Dung gio
LB000205,CB000204,MB0033,2025-10-27 08:15:00,2025-10-27 10:41:00,Dung gio
LB000206,CB000377,MB0022,2025-05-26 16:45:00,2025-05-27 02:50:00,Dung gio
LB000207,CB000135,MB0081,2024-09-23 22:45:00,2024-09-24 02:54:00,Huy
LB000208,CB000147,MB0073,2025-05-17 06:00:00,2025-05-17 08:48:00,Dung gio
LB000209,CB000232,MB0022,2025-12-31 14:00:00,2026-01-01 04:19:00,Dung gio
LB000210,CB000342,MB0041,2025-12-27 02:30:00,2025-12-27 18:12:00,Dung gio
LB000211,CB000436,MB0021,2025-12-29 22:15:00,2025-12-30 12:17:00,Dung gio
LB000212,CB000261,MB0025,2024-05-04 06:15:00,2024-05-04 10:47:00,Tre
LB000213,CB000014,MB0043,2025-07-21 18:30:00,2025-07-22 02:58:00,Huy
LB000214,CB000067,MB0064,2024-03-29 02:30:00,2024-03-29 09:47:00,Tre
LB000215,CB000270,MB0047,2025-02-23 18:00:00,2025-02-23 20:38:00,Dung gio
LB000216,CB000329,MB0012,2025-04-05 14:30:00,2025-04-05 17:11:00,Huy
LB000217,CB000328,MB0062,2024-07-05 04:45:00,2024-07-05 13:49:00,Dung gio
LB000218,CB000426,MB0016,2025-06-14 04:30:00,2025-06-14 07:48:00,Dung gio
LB000219,CB000166,MB0074,2024-08-18 11:30:00,2024-08-19 02:26:00,Dung gio
LB000220,CB000129,MB0023,2025-10-12 17:30:00,2025-10-12 20:08:00,Dung gio
LB000221,CB000315,MB0059,2024-04-05 16:15:00,2024-04-06 02:51:00,Huy
LB000222,CB000079,MB0021,2025-11-05 19:30:00,2025-11-06 10:22:00,Huy
LB000223,CB000022,MB0089,2024-01-30 02:00:00,2024-01-30 13:26:00,Huy
LB000224,CB000136,MB0067,2024-08-03 18:45:00,2024-08-04 05:47:00,Dung gio
LB000225,CB000255,MB0093,2025-10-04 17:30:00,2025-10-05 04:57:00,Dung gio
LB000226,CB000248,MB0026,2025-12-02 12:30:00,2025-12-02 20:44:00,Dung gio
LB000227,CB000353,MB0010,2024-06-10 14:45:00,2024-06-10 23:30:00,Tre
LB000228,CB000105,MB0037,2025-09-13 04:30:00,2025-09-13 19:42:00,Dung gio
LB000229,CB000376,MB0092,2024-12-19 12:15:00,2024-12-20 01:43:00,Dung gio
LB000230,CB000264,MB0060,2024-04-18 10:15:00,2024-04-18 18:42:00,Dung gio
LB000231,CB000137,MB0050,2024-09-10 04:00:00,2024-09-10 05:21:00,Dung gio
LB000232,CB000485,MB0044,2025-09-22 13:15:00,2025-09-23 04:31:00,Dung gio
LB000233,CB000417,MB0033,2025-08-14 23:30:00,2025-08-15 03:14:00,Dung gio
LB000234,CB000256,MB0056,2025-04-23 15:30:00,2025-04-24 00:29:00,Dung gio
LB000235,CB000047,MB0045,2025-06-01 14:15:00,2025-06-01 18:25:00,Huy
LB000236,CB000181,MB0010,2024-02-21 09:45:00,2024-02-21 20:26:00,Tre
LB000237,CB000147,MB0059,2024-01-09 03:45:00,2024-01-09 06:32:00,Dung gio
LB000238,CB000373,MB0043,2025-02-16 11:00:00,2025-02-16 18:20:00,Dung gio
LB000239,CB000292,MB0060,2024-07-18 11:30:00,2024-07-18 13:15:00,Tre
LB000240,CB000259,MB0050,2025-07-17 08:00:00,2025-07-17 10:41:00,Dung gio
LB000241,CB000202,MB0043,2024-12-13 17:30:00,2024-12-14 06:53:00,Dung gio
LB000242,CB000102,MB0063,2025-06-05 12:00:00,2025-06-05 13:16:00,Dung gio
LB000243,CB000071,MB0074,2024-12-07 15:45:00,2024-12-07 18:47:00,Huy
LB000244,CB000458,MB0056,2024-05-23 10:30:00,2024-05-23 13:46:00,Tre
LB000245,CB000316,MB0077,2024-11-02 18:30:00,2024-11-03 03:39:00,Huy
LB000246,CB000273,MB0054,2025-12-26 18:30:00,2025-12-27 03:06:00,Dung gio
LB000247,CB000189,MB0037,2025-11-20 03:45:00,2025-11-20 14:12:00,Dung gio
LB000248,CB000408,MB0096,2025-12-05 20:00:00,2025-12-06 06:41:00,Tre
LB000249,CB000136,MB0067,2025-08-15 18:15:00,2025-08-16 07:03:00,Dung gio
LB000250,CB000299,MB0053,2024-06-23 16:45:00,2024-06-23 19:46:00,Dung gio
LB000251,CB000017,MB0061,2025-12-18 03:15:00,2025-12-18 04:04:00,Tre
LB000252,CB000161,MB0047,2024-06-04 13:15:00,2024-06-04 20:45:00,Huy
LB000253,CB000397,MB0064,2025-04-27 23:00:00,2025-04-28 11:32:00,Dung gio
LB000254,CB000266,MB0024,2025-07-28 10:45:00,2025-07-28 20:13:00,Tre
LB000255,CB000161,MB0022,2025-04-15 17:30:00,2025-04-16 03:19:00,Dung gio
LB000256,CB000347,MB0081,2025-11-28 20:30:00,2025-11-29 07:24:00,Tre
LB000257,CB000099,MB0026,2024-10-12 17:30:00,2024-10-12 21:50:00,Dung gio
LB000258,CB000395,MB0031,2025-12-22 06:45:00,2025-12-22 12:39:00,Tre
LB000259,CB000179,MB0060,2024-10-07 09:00:00,2024-10-07 19:17:00,Huy
LB000260,CB000195,MB0096,2025-02-08 11:15:00,2025-02-08 16:42:00,Dung gio
LB000261,CB000148,MB0074,2024-03-21 11:45:00,2024-03-21 23:26:00,Dung gio
LB000262,CB000383,MB0053,2024-08-07 06:30:00,2024-08-07 16:35:00,Dung gio
LB000263,CB000071,MB0015,2025-09-22 23:15:00,2025-09-23 03:53:00,Dung gio
LB000264,CB000343,MB0096,2025-06-27 07:15:00,2025-06-27 08:38:00,Dung gio
LB000265,CB000212,MB0037,2025-04-28 03:15:00,2025-04-28 03:50:00,Huy
LB000266,CB000476,MB0021,2025-02-20 20:45:00,2025-02-21 05:23:00,Dung gio
LB000267,CB000388,MB0031,2024-11-24 09:00:00,2024-11-25 00:59:00,Dung gio
LB000268,CB000334,MB0061,2024-08-25 17:00:00,2024-08-25 20:29:00,Tre
LB000269,CB000452,MB0090,2024-06-29 01:45:00,2024-06-29 15:41:00,Tre
LB000270,CB000096,MB0077,2024-10-23 01:00:00,2024-10-23 06:35:00,Huy
LB000271,CB000309,MB0015,2024-12-09 09:45:00,2024-12-09 21:11:00,Huy
LB000272,CB000269,MB0054,2024-05-17 16:45:00,2024-05-17 21:54:00,Dung gio
LB000273,CB000415,MB0016,2024-12-04 05:45:00,2024-12-04 17:18:00,Dung gio
LB000274,CB000368,MB0022,2024-01-15 23:30:00,2024-01-16 13:29:00,Dung gio
LB000275,CB000291,MB0071,2024-07-16 05:45:00,2024-07-16 20:21:00,Tre
LB000276,CB000264,MB0033,2024-03-29 12:00:00,2024-03-29 15:39:00,Dung gio
LB000277,CB000245,MB0033,2024-09-11 00:30:00,2024-09-11 07:32:00,Dung gio
LB000278,CB000229,MB0078,2024-09-30 10:30:00,2024-09-30 20:56:00,Huy
LB000279,CB000006,MB0027,2025-10-31 11:15:00,2025-10-31 12:48:00,Dung gio
LB000280,CB000239,MB0032,2024-06-12 12:30:00,2024-06-13 00:46:00,Dung gio
LB000281,CB000328,MB0100,2024-10-29 11:15:00,2024-10-29 15:29:00,Dung gio
LB000282,CB000245,MB0020,2025-04-10 23:30:00,2025-04-11 07:05:00,Huy
LB000283,CB000468,MB0053,2025-07-04 21:15:00,2025-07-05 10:45:00,Dung gio
LB000284,CB000349,MB0078,2025-09-02 02:45:00,2025-09-02 12:15:00,Dung gio
LB000285,CB000040,MB0100,2025-07-31 03:00:00,2025-07-31 17:38:00,Huy
LB000286,CB000463,MB0056,2024-07-26 18:15:00,2024-07-26 21:33:00,Dung gio
LB000287,CB000438,MB0057,2025-03-28 03:15:00,2025-03-28 15:59:00,Huy
LB000288,CB000251,MB0013,2025-06-06 14:00:00,2025-06-06 22:14:00,Dung gio
LB000289,CB000263,MB0047,2025-04-12 18:00:00,2025-04-13 04:02:00,Tre
LB000290,CB000345,MB0087,2024-11-11 23:00:00,2024-11-12 06:15:00,Dung gio
LB000291,CB000419,MB0001,2024-08-11 18:00:00,2024-08-11 19:16:00,Tre
LB000292,CB000177,MB0073,2024-03-06 17:00:00,2024-03-07 08:45:00,Dung gio
LB000293,CB000479,MB0053,2024-02-02 09:45:00,2024-02-02 13:19:00,Dung gio
LB000294,CB000393,MB0067,2025-10-23 13:30:00,2025-10-24 05:12:00,Tre
LB000295,CB000230,MB0092,2025-01-21 12:00:00,2025-01-22 00:09:00,Huy
LB000296,CB000069,MB0067,2024-12-22 03:15:00,2024-12-22 12:55:00,Tre
LB000297,CB000271,MB0017,2024-08-16 00:00:00,2024-08-16 05:35:00,Tre
LB000298,CB000345,MB0076,2025-07-11 13:45:00,2025-07-12 04:18:00,Dung gio
LB000299,CB000127,MB0052,2024-12-20 04:30:00,2024-12-20 08:13:00,Dung gio
LB000300,CB000017,MB0087,2025-11-07 13:00:00,2025-11-07 17:36:00,Dung gio
LB000301,CB000035,MB0015,2025-08-31 01:45:00,2025-08-31 12:27:00,Dung gio
