MaHanhLy,MaVe,TrongLuong,LoaiHanhLy
HL00000131,VE00020731,3.65,Xach tay
HL00000132,VE00059471,4.21,Xach tay
HL00000133,VE00059471,27.58,Ky gui
HL00000134,VE00000426,19.2,Ky gui
HL00000135,VE00034523,11.91,Ky gui
HL00000136,VE00065613,4.44,Xach tay
HL00000137,VE00023417,6.55,Xach tay
HL00000138,VE00023417,10.64,Ky gui
HL00000139,VE00066543,6.28,Xach tay
HL00000140,VE00013948,5.71,Xach tay
HL00000141,VE00013948,6.64,Ky gui
HL00000142,VE00039118,30.33,Ky gui
HL00000143,VE00066541,2.9,Xach tay
HL00000144,VE00079819,27.24,Ky gui
HL00000145,VE00026072,0.76,Xach tay
HL00000146,VE00020033,2.48,Xach tay
HL00000147,VE00020033,30.5,Ky gui
HL00000148,VE00021175,5.21,Xach tay
HL00000149,VE00021175,19.35,Ky gui
HL00000150,VE00070698,3.92,Xach tay
HL00000151,VE00069515,4.56,Xach tay
HL00000152,VE00000075,5.37,Xach tay
HL00000153,VE00078505,1.19,Xach tay
HL00000154,VE00042488,14.67,Ky gui
HL00000155,VE00064043,4.82,Xach tay
HL00000156,VE00014663,1.67,Xach tay
HL00000157,VE00047577,2.69,Xach tay
HL00000158,VE00040307,6.99,Xach tay
HL00000159,VE00031386,2.79,Xach tay
HL00000160,VE00007593,6.94,Xach tay
HL00000161,VE00031572,2.92,Xach tay
HL00000162,VE00074365,16.63,Ky gui
HL00000163,VE00010323,21.43,Ky gui
HL00000164,VE00011227,10.78,Ky gui
HL00000165,VE00063700,30.01,Ky gui
HL00000166,VE00009072,6.75,Xach tay
HL00000167,VE00069823,3.08,Xach tay
HL00000168,VE00016484,31.54,Ky gui
HL00000169,VE00016829,18.98,Ky gui
HL00000170,VE00072064,2.45,Xach tay
HL00000171,VE00021644,6.06,Xach tay
HL00000172,VE00034742,5.84,Xach tay
HL00000173,VE00034742,23.62,Ky gui
HL00000174,VE00069164,4.1,Xach tay
HL00000175,VE00079508,30.0,Ky gui
HL00000176,VE00055462,0.75,Xach tay
HL00000177,VE00027761,1.4,Xach tay
HL00000178,VE00070687,4.28,Xach tay
HL00000179,VE00026366,5.77,Xach tay
HL00000180,VE00040858,3.1,Xach tay
HL00000181,VE00040858,29.78,Ky gui
HL00000182,VE00052297,24.54,Ky gui
HL00000183,VE00048945,9.67,Ky gui
HL00000184,VE00057423,23.62,Ky gui
HL00000185,VE00067840,29.51,Ky gui
HL00000186,VE00059178,13.11,Ky gui
HL00000187,VE00015861,20.56,Ky gui
HL00000188,VE00032494,0.86,Xach tay
HL00000189,VE00032494,25.81,Ky gui
HL00000190,VE00029452,5.81,Xach tay
HL00000191,VE00008393,6.14,Xach tay
HL00000192,VE00002758,4.74,Xach tay
HL00000193,VE00077111,5.31,Ky gui
HL00000194,VE00072604,15.33,Ky gui
HL00000195,VE00030162,0.77,Xach tay
HL00000196,VE00077129,9.04,Ky gui
HL00000197,VE00028865,10.96,Ky gui
HL00000198,VE00000943,5.26,Xach tay
HL00000199,VE00000943,15.61,Ky gui
HL00000200,VE00009306,4.37,Xach tay
HL00000201,VE00007717,11.0,Ky gui
HL00000202,VE00030008,3.06,Xach tay
HL00000203,VE00008835,1.04,Xach tay
HL00000204,VE00004118,6.33,Ky gui
HL00000205,VE00043310,1.05,Xach tay
HL00000206,VE00009288,25.89,Ky gui
HL00000207,VE00067392,1.38,Xach tay
HL00000208,VE00031196,18.17,Ky gui
HL00000209,VE00036501,10.29,Ky gui
HL00000210,VE00063625,24.86,Ky gui
HL00000211,VE00028081,0.97,Xach tay
HL00000212,VE00070679,13.73,Ky gui
HL00000213,VE00074848,4.87,Xach tay
HL00000214,VE00074848,16.44,Ky gui
HL00000215,VE00075526,2.58,Xach tay
HL00000216,VE00061954,5.65,Ky gui
HL00000217,VE00031851,6.92,Xach tay
HL00000218,VE00061994,31.73,Ky gui
HL00000219,VE00053355,1.45,Xach tay
HL00000220,VE00024958,5.82,Xach tay
HL00000221,VE00024958,10.39,Ky gui
HL00000222,VE00012364,5.43,Xach tay
HL00000223,VE00056499,0.85,Xach tay
HL00000224,VE00061214,5.37,Ky gui
HL00000225,VE00007101,8.0,Ky gui
HL00000226,VE00012900,0.65,Xach tay
HL00000227,VE00007945,4.0,Xach tay
HL00000228,VE00052773,3.9,Xach tay
HL00000229,VE00044474,3.64,Xach tay
HL00000230,VE00014323,8.82,Ky gui
HL00000231,VE00032592,5.5,Ky gui
HL00000232,VE00025113,22.92,Ky gui
HL00000233,VE00024932,1.61,Xach tay
HL00000234,VE00024932,12.67,Ky gui
HL00000235,VE00070293,21.69,Ky gui
HL00000236,VE00058801,4.76,Xach tay
HL00000237,VE00058801,5.23,Ky gui
HL00000238,VE00018374,2.26,Xach tay
HL00000239,VE00024051,28.34,Ky gui
HL00000240,VE00036510,6.14,Xach tay
HL00000241,VE00036510,22.53,Ky gui
HL00000242,VE00060638,2.97,Xach tay
HL00000243,VE00009881,2.55,Xach tay
HL00000244,VE00009881,28.4,Ky gui
HL00000245,VE00058083,10.03,Ky gui
HL00000246,VE00072133,17.37,Ky gui
HL00000247,VE00006631,2.11,Xach tay
HL00000248,VE00006631,19.29,Ky gui
HL00000249,VE00070856,3.06,Xach tay
HL00000250,VE00001935,2.75,Xach tay
HL00000251,VE00012225,4.56,Xach tay
HL00000252,VE00030983,6.86,Xach tay
HL00000253,VE00021799,26.92,Ky gui
HL00000254,VE00053270,28.72,Ky gui
HL00000255,VE00063093,5.8,Ky gui
HL00000256,VE00028017,12.57,Ky gui
HL00000257,VE00052566,6.33,Xach tay
HL00000258,VE00007686,7.37,Ky gui
HL00000259,VE00021580,6.74,Xach tay
HL00000260,VE00049673,21.89,Ky gui
HL00000261,VE00000283,2.06,Xach tay
HL00000262,VE00051174,6.81,Xach tay
HL00000263,VE00059639,4.02,Xach tay
HL00000264,VE00037389,1.4,Xach tay
HL00000265,VE00055445,26.6,Ky gui
HL00000266,VE00063789,5.08,Xach tay
HL00000267,VE00020290,8.65,Ky gui
HL00000268,VE00028535,6.56,Xach tay
HL00000269,VE00075915,4.12,Xach tay
HL00000270,VE00007990,2.56,Xach tay
HL00000271,VE00007493,25.67,Ky gui
HL00000272,VE00076570,3.17,Xach tay
HL00000273,VE00062494,6.57,Xach tay
HL00000274,VE00020636,5.56,Xach tay
HL00000275,VE00007456,1.7,Xach tay
HL00000276,VE00066563,21.52,Ky gui
HL00000277,VE00010501,4.19,Xach tay
HL00000278,VE00024357,2.01,Xach tay
HL00000279,VE00008982,14.7,Ky gui
HL00000280,VE00077993,17.87,Ky gui
HL00000281,VE00008908,21.33,Ky gui
HL00000282,VE00030829,15.1,Ky gui
HL00000283,VE00015714,1.39,Xach tay
HL00000284,VE00074669,0.71,Xach tay
HL00000285,VE00032272,5.41,Ky gui
HL00000286,VE00075881,3.18,Xach tay
HL00000287,VE00077925,31.68,Ky gui
HL00000288,VE00005210,6.79,Ky gui
HL00000289,VE00074086,2.61,Xach tay
HL00000290,VE00068523,2.1,Xach tay
HL00000291,VE00041468,0.77,Xach tay
HL00000292,VE00034180,15.27,Ky gui
HL00000293,VE00026773,4.47,Xach tay
HL00000294,VE00041181,21.03,Ky gui
HL00000295,VE00031286,28.65,Ky gui
HL00000296,VE00034815,19.06,Ky gui
HL00000297,VE00051877,5.88,Xach tay
HL00000298,VE00017155,6.97,Xach tay
HL00000299,VE00017155,19.0,Ky gui
HL00000300,VE00039322,5.28,Xach tay
HL00000301,VE00059930,18.94,Ky gui
HL00000302,VE00041442,6.33,Ky gui
HL00000303,VE00009509,3.09,Xach tay
HL00000304,VE00001221,5.88,Xach tay
HL00000305,VE00060069,3.25,Xach tay
HL00000306,VE00073793,6.47,Ky gui
HL00000307,VE00013105,8.84,Ky gui
HL00000308,VE00009603,17.2,Ky gui
HL00000309,VE00070469,8.06,Ky gui
HL00000310,VE00027939,30.32,Ky gui
HL00000311,VE00066308,8.65,Ky gui
HL00000312,VE00017362,3.43,Xach tay
HL00000313,VE00045746,4.34,Xach tay
HL00000314,VE00009017,10.45,Ky gui
HL00000315,VE00032019,2.13,Xach tay
HL00000316,VE00048435,29.49,Ky gui
HL00000317,VE00037354,24.4,Ky gui
HL00000318,VE00020677,1.24,Xach tay
HL00000319,VE00057434,2.86,Xach tay
HL00000320,VE00071201,15.37,Ky gui
HL00000321,VE00039652,18.81,Ky gui
HL00000322,VE00001026,2.97,Xach tay
HL00000323,VE00072693,29.63,Ky gui
HL00000324,VE00039241,22.81,Ky gui
HL00000325,VE00013578,6.15,Xach tay
HL00000326,VE00017602,5.13,Xach tay
HL00000327,VE00034665,2.51,Xach tay
HL00000328,VE00015130,17.05,Ky gui
HL00000329,VE00014030,8.17,Ky gui
HL00000330,VE00020375,1.82,Xach tay
HL00000331,VE00035698,11.83,Ky gui
HL00000332,VE00036931,6.06,Xach tay
HL00000333,VE00079277,5.16,Ky gui
HL00000334,VE00044943,4.33,Xach tay
HL00000335,VE00026686,3.17,Xach tay
HL00000336,VE00034601,4.4,Xach tay
HL00000337,VE00034601,11.61,Ky gui
HL00000338,VE00066245,21.73,Ky gui
HL00000339,VE00064033,27.28,Ky gui
HL00000340,VE00032915,1.46,Xach tay
HL00000341,VE00032915,22.64,Ky gui
HL00000342,VE00006659,6.05,Xach tay
HL00000343,VE00006659,23.01,Ky gui
HL00000344,VE00012098,13.06,Ky gui
HL00000345,VE00036266,3.21,Xach tay
HL00000346,VE00036266,9.81,Ky gui
HL00000347,VE00005779,21.5,Ky gui
HL00000348,VE00000465,21.06,Ky gui
HL00000349,VE00043720,9.79,Ky gui
HL00000350,VE00017147,4.26,Xach tay
HL00000351,VE00021179,2.45,Xach tay
HL00000352,VE00021179,14.95,Ky gui
HL00000353,VE00057913,0.94,Xach tay
HL00000354,VE00072310,4.08,Xach tay
HL00000355,VE00056058,1.37,Xach tay
HL00000356,VE00073520,12.41,Ky gui
HL00000357,VE00001268,19.17,Ky gui
HL00000358,VE00014664,21.53,Ky gui
HL00000359,VE00009863,5.24,Xach tay
HL00000360,VE00019537,31.65,Ky gui
HL00000361,VE00071512,4.98,Xach tay
HL00000362,VE00076351,4.46,Xach tay
HL00000363,VE00072421,3.92,Xach tay
HL00000364,VE00056334,1.34,Xach tay
HL00000365,VE00016705,19.03,Ky gui
HL00000366,VE00005483,18.3,Ky gui
HL00000367,VE00040405,4.46,Xach tay
HL00000368,VE00047796,31.44,Ky gui
HL00000369,VE00005230,0.66,Xach tay
HL00000370,VE00005230,21.89,Ky gui
HL00000371,VE00046899,6.01,Xach tay
HL00000372,VE00027536,31.97,Ky gui
HL00000373,VE00032707,2.67,Xach tay
HL00000374,VE00013474,22.21,Ky gui
HL00000375,VE00046358,1.81,Xach tay
HL00000376,VE00046358,12.6,Ky gui
HL00000377,VE00073386,13.31,Ky gui
HL00000378,VE00053265,13.75,Ky gui
HL00000379,VE00020258,4.96,Xach tay
HL00000380,VE00020258,14.22,Ky gui
HL00000381,VE00031030,21.63,Ky gui
HL00000382,VE00021300,1.64,Xach tay
HL00000383,VE00021300,13.92,Ky gui
HL00000384,VE00023207,4.87,Xach tay
HL00000385,VE00003249,22.43,Ky gui
HL00000386,VE00023510,4.58,Xach tay
HL00000387,VE00053965,14.05,Ky gui
HL00000388,VE00032528,16.18,Ky gui
HL00000389,VE00034971,27.55,Ky gui
HL00000390,VE00020867,5.21,Xach tay
HL00000391,VE00014169,3.98,Xach tay
HL00000392,VE00050141,4.96,Xach tay
HL00000393,VE00005076,28.98,Ky gui
HL00000394,VE00061695,6.8,Xach tay
HL00000395,VE00029155,0.7,Xach tay
HL00000396,VE00060333,27.74,Ky gui
HL00000397,VE00045831,15.52,Ky gui
HL00000398,VE00040002,28.34,Ky gui
HL00000399,VE00029832,24.04,Ky gui
HL00000400,VE00029220,0.71,Xach tay
HL00000401,VE00003102,3.73,Xach tay
HL00000402,VE00025314,3.44,Xach tay
HL00000403,VE00043026,2.47,Xach tay
HL00000404,VE00036518,5.6,Xach tay
HL00000405,VE00009100,29.66,Ky gui
HL00000406,VE00036586,0.66,Xach tay
HL00000407,VE00046026,3.75,Xach tay
HL00000408,VE00066769,6.5,Xach tay
HL00000409,VE00052387,19.14,Ky gui
HL00000410,VE00070283,8.87,Ky gui
HL00000411,VE00003618,30.33,Ky gui
HL00000412,VE00015119,8.58,Ky gui
HL00000413,VE00034238,17.4,Ky gui
HL00000414,VE00023406,19.1,Ky gui
HL00000415,VE00076100,6.56,Xach tay
HL00000416,VE00076100,23.55,Ky gui
HL00000417,VE00034796,7.35,Ky gui
HL00000418,VE00005015,0.8,Xach tay
HL00000419,VE00014209,22.79,Ky gui
HL00000420,VE00078194,4.25,Xach tay
HL00000421,VE00056960,6.3,Xach tay
HL00000422,VE00045310,1.75,Xach tay
HL00000423,VE00041115,2.57,Xach tay
HL00000424,VE00057200,1.26,Xach tay
HL00000425,VE00079458,2.28,Xach tay
HL00000426,VE00067034,4.55,Xach tay
HL00000427,VE00067034,18.88,Ky gui
HL00000428,VE00015158,2.78,Xach tay
HL00000429,VE00050489,1.42,Xach tay
HL00000430,VE00075575,12.65,Ky gui
HL00000431,VE00024915,0.96,Xach tay
HL00000432,VE00033387,14.15,Ky gui
HL00000433,VE00005818,1.35,Xach tay
HL00000434,VE00057155,4.89,Xach tay
HL00000435,VE00000222,0.85,Xach tay
HL00000436,VE00068147,1.66,Xach tay
HL00000437,VE00070576,21.0,Ky gui
HL00000438,VE00025826,23.88,Ky gui
HL00000439,VE00047740,13.44,Ky gui
HL00000440,VE00056532,24.25,Ky gui
HL00000441,VE00009172,19.4,Ky gui
HL00000442,VE00041146,17.57,Ky gui
HL00000443,VE00016335,5.78,Xach tay
HL00000444,VE00066470,3.46,Xach tay
HL00000445,VE00040539,24.18,Ky gui
HL00000446,VE00053529,2.01,Xach tay
HL00000447,VE00042754,6.1,Xach tay
HL00000448,VE00052744,29.65,Ky gui
HL00000449,VE00038753,5.05,Xach tay
HL00000450,VE00072668,26.3,Ky gui
HL00000451,VE00025145,0.7,Xach tay
HL00000452,VE00055109,2.78,Xach tay
HL00000453,VE00049696,1.61,Xach tay
HL00000454,VE00022811,21.32,Ky gui
HL00000455,VE00074594,1.17,Xach tay
HL00000456,VE00039447,26.51,Ky gui
HL00000457,VE00053226,4.72,Xach tay
HL00000458,VE00071820,19.38,Ky gui
HL00000459,VE00000054,3.19,Xach tay
HL00000460,VE00039830,19.79,Ky gui
HL00000461,VE00027550,2.71,Xach tay
HL00000462,VE00056347,20.96,Ky gui
HL00000463,VE00076020,16.75,Ky gui
HL00000464,VE00079517,19.7,Ky gui
HL00000465,VE00042238,4.81,Xach tay
HL00000466,VE00060947,6.55,Xach tay
HL00000467,VE00060947,20.5,Ky gui
HL00000468,VE00057906,4.35,Xach tay
HL00000469,VE00057955,4.11,Xach tay
HL00000470,VE00028011,9.76,Ky gui
HL00000471,VE00062022,1.21,Xach tay
HL00000472,VE00062022,26.98,Ky gui
HL00000473,VE00022242,15.23,Ky gui
HL00000474,VE00011115,4.79,Xach tay
HL00000475,VE00037197,5.81,Xach tay
HL00000476,VE00037197,28.96,Ky gui
HL00000477,VE00043934,5.0,Ky gui
HL00000478,VE00012241,1.47,Xach tay
HL00000479,VE00030785,15.53,Ky gui
HL00000480,VE00040688,10.28,Ky gui
HL00000481,VE00029445,13.55,Ky gui
HL00000482,VE00026101,29.66,Ky gui
HL00000483,VE00019314,6.63,Xach tay
HL00000484,VE00003202,6.89,Xach tay
HL00000485,VE00006058,1.08,Xach tay
HL00000486,VE00032093,6.91,Xach tay
HL00000487,VE00032093,15.91,Ky gui
HL00000488,VE00062278,2.41,Xach tay
HL00000489,VE00009546,4.07,Xach tay
HL00000490,VE00059693,5.07,Xach tay
HL00000491,VE00059693,27.16,Ky gui
HL00000492,VE00054322,6.1,Xach tay
HL00000493,VE00025486,5.06,Xach tay
HL00000494,VE00050329,2.57,Xach tay
HL00000495,VE00064800,2.98,Xach tay
HL00000496,VE00052384,22.89,Ky gui
HL00000497,VE00031980,1.72,Xach tay
HL00000498,VE00019343,6.51,Xach tay
HL00000499,VE00000727,9.17,Ky gui
HL00000500,VE00055725,8.63,Ky gui
HL00000501,VE00028684,0.6,Xach tay
HL00000502,VE00028684,24.48,Ky gui
HL00000503,VE00023054,3.34,Xach tay
HL00000504,VE00060890,4.67,Xach tay
HL00000505,VE00060890,16.23,Ky gui
HL00000506,VE00006583,5.63,Xach tay
HL00000507,VE00073061,16.49,Ky gui
HL00000508,VE00032663,3.81,Xach tay
HL00000509,VE00015907,17.15,Ky gui
HL00000510,VE00059830,1.71,Xach tay
HL00000511,VE00017478,20.6,Ky gui
HL00000512,VE00060902,11.39,Ky gui
HL00000513,VE00069617,16.09,Ky gui
HL00000514,VE00073260,14.91,Ky gui
HL00000515,VE00041589,24.03,Ky gui
HL00000516,VE00058009,3.63,Xach tay
HL00000517,VE00066163,8.84,Ky gui
HL00000518,VE00055934,31.56,Ky gui
HL00000519,VE00058447,17.55,Ky gui
HL00000520,VE00020862,6.28,Xach tay
HL00000521,VE00020862,7.39,Ky gui
HL00000522,VE00062217,5.32,Xach tay
HL00000523,VE00033973,4.62,Xach tay
HL00000524,VE00033973,26.55,Ky gui
HL00000525,VE00032407,0.84,Xach tay
HL00000526,VE00036348,5.56,Xach tay
HL00000527,VE00068328,3.83,Xach tay
HL00000528,VE00063518,5.27,Xach tay
HL00000529,VE00031359,6.74,Xach tay
HL00000530,VE00035993,12.81,Ky gui
HL00000531,VE00057655,6.5,Xach tay
HL00000532,VE00057655,25.23,Ky gui
HL00000533,VE00010156,20.22,Ky gui
HL00000534,VE00037451,3.58,Xach tay
HL00000535,VE00037451,9.57,Ky gui
HL00000536,VE00030736,6.94,Xach tay
HL00000537,VE00030736,26.84,Ky gui
HL00000538,VE00035615,12.74,Ky gui
HL00000539,VE00044021,3.79,Xach tay
HL00000540,VE00044021,27.99,Ky gui
HL00000541,VE00041905,1.36,Xach tay
HL00000542,VE00070799,6.08,Xach tay
HL00000543,VE00010562,1.23,Xach tay
HL00000544,VE00010562,9.71,Ky gui
HL00000545,VE00018137,9.08,Ky gui
HL00000546,VE00019770,5.75,Xach tay
HL00000547,VE00030312,5.06,Xach tay
HL00000548,VE00050206,5.7,Xach tay
HL00000549,VE00028044,1.05,Xach tay
HL00000550,VE00008419,6.57,Xach tay
HL00000551,VE00054378,3.72,Xach tay
HL00000552,VE00043370,11.42,Ky gui
HL00000553,VE00071122,4.64,Xach tay
HL00000554,VE00061070,5.27,Xach tay
HL00000555,VE00054497,4.67,Xach tay
HL00000556,VE00008162,8.13,Ky gui
HL00000557,VE00027111,3.09,Xach tay
HL00000558,VE00055070,5.35,Xach tay
HL00000559,VE00051050,19.38,Ky gui
HL00000560,VE00076557,5.09,Xach tay
HL00000561,VE00002561,1.44,Xach tay
HL00000562,VE00049858,6.53,Xach tay
HL00000563,VE00049858,17.12,Ky gui
HL00000564,VE00062519,30.97,Ky gui
HL00000565,VE00000773,6.11,Ky gui
HL00000566,VE00039140,30.82,Ky gui
HL00000567,VE00051117,6.47,Xach tay
HL00000568,VE00070546,2.24,Xach tay
HL00000569,VE00071583,4.75,Xach tay
HL00000570,VE00071583,15.56,Ky gui
HL00000571,VE00079070,25.23,Ky gui
HL00000572,VE00028907,20.9,Ky gui
HL00000573,VE00063994,2.69,Xach tay
HL00000574,VE00028761,9.86,Ky gui
HL00000575,VE00035775,23.17,Ky gui
HL00000576,VE00057126,5.32,Ky gui
HL00000577,VE00063655,1.18,Xach tay
HL00000578,VE00063655,17.04,Ky gui
HL00000579,VE00003805,2.34,Xach tay
HL00000580,VE00050969,0.65,Xach tay
HL00000581,VE00044058,6.6,Xach tay
HL00000582,VE00044058,22.73,Ky gui
HL00000583,VE00052995,30.66,Ky gui
HL00000584,VE00021633,24.12,Ky gui
HL00000585,VE00061262,6.07,Xach tay
HL00000586,VE00016729,4.77,Xach tay
HL00000587,VE00003535,31.11,Ky gui
HL00000588,VE00077581,11.84,Ky gui
HL00000589,VE00073976,6.59,Xach tay
HL00000590,VE00003553,29.91,Ky gui
HL00000591,VE00011004,3.28,Xach tay
HL00000592,VE00017787,13.73,Ky gui
HL00000593,VE00060516,0.98,Xach tay
HL00000594,VE00023820,15.34,Ky gui
HL00000595,VE00006591,0.89,Xach tay
HL00000596,VE00049690,3.36,Xach tay
HL00000597,VE00042907,6.54,Xach tay
HL00000598,VE00027743,9.82,Ky gui
HL00000599,VE00059599,1.44,Xach tay
HL00000600,VE00042841,10.9,Ky gui
HL00000601,VE00044237,29.64,Ky gui
HL00000602,VE00049693,7.79,Ky gui
HL00000603,VE00036472,4.21,Xach tay
HL00000604,VE00036472,11.77,Ky gui
HL00000605,VE00055256,6.33,Xach tay
HL00000606,VE00033066,4.66,Xach tay
HL00000607,VE00061645,12.19,Ky gui
HL00000608,VE00002541,29.42,Ky gui
HL00000609,VE00070703,18.92,Ky gui
HL00000610,VE00045871,3.33,Xach tay
HL00000611,VE00029390,26.09,Ky gui
HL00000612,VE00008994,19.58,Ky gui
HL00000613,VE00005277,6.7,Xach tay
HL00000614,VE00005277,27.09,Ky gui
HL00000615,VE00004068,4.19,Xach tay
HL00000616,VE00026131,4.93,Xach tay
HL00000617,VE00002672,4.61,Xach tay
HL00000618,VE00031267,3.98,Xach tay
HL00000619,VE00031267,30.94,Ky gui
HL00000620,VE00016545,3.49,Xach tay
HL00000621,VE00016545,25.7,Ky gui
HL00000622,VE00062071,9.77,Ky gui
HL00000623,VE00014994,3.0,Xach tay
HL00000624,VE00014994,10.16,Ky gui
HL00000625,VE00073921,29.2,Ky gui
HL00000626,VE00028570,14.7,Ky gui
HL00000627,VE00060953,4.61,Xach tay
HL00000628,VE00060953,24.85,Ky gui
HL00000629,VE00033587,1.76,Xach tay
HL00000630,VE00048352,21.01,Ky gui
HL00000631,VE00021993,0.91,Xach tay
HL00000632,VE00079416,13.31,Ky gui
HL00000633,VE00079594,27.52,Ky gui
