MaGia,MaLich,HangGhe,Gia,ThoiDiemBatDau,ThoiDiemKetThuc
MG0000089,LB000030,Thuong gia,11895000,2024-02-10 05:00:00,2024-03-16 23:00:00
MG0000090,LB000030,Hang nhat,10387000,2023-10-25 05:00:00,2024-03-16 11:00:00
MG0000091,LB000031,Pho thong,951000,2025-04-04 09:00:00,2025-04-25 15:00:00
MG0000092,LB000031,Thuong gia,4529000,2025-01-19 09:00:00,2025-04-25 19:00:00
MG0000093,LB000031,Hang nhat,45957000,2025-02-04 09:00:00,2025-04-26 07:00:00
MG0000094,LB000032,Pho thong,1232000,2025-10-25 14:00:00,2025-12-19 16:00:00
MG0000095,LB000032,Thuong gia,11994000,2025-07-27 14:00:00,2025-12-19 18:00:00
MG0000096,LB000032,Hang nhat,45257000,2025-10-18 14:00:00,2025-12-20 08:00:00
MG0000097,LB000033,Pho thong,4683000,2025-09-23 18:15:00,2025-10-01 18:15:00
MG0000098,LB000033,Thuong gia,4910000,2025-06-16 18:15:00,2025-10-02 09:15:00
MG0000099,LB000033,Hang nhat,44344000,2025-09-02 18:15:00,2025-10-02 16:15:00
MG0000100,LB000034,Pho thong,2269000,2025-08-27 04:30:00,2025-10-24 13:30:00
MG0000101,LB000034,Thuong gia,10920000,2025-08-25 04:30:00,2025-10-25 03:30:00
MG0000102,LB000034,Hang nhat,44574000,2025-07-12 04:30:00,2025-10-24 19:30:00
MG0000103,LB000035,Pho thong,2940000,2024-04-05 09:30:00,2024-06-17 12:30:00
MG0000104,LB000035,Thuong gia,4384000,2023-12-25 09:30:00,2024-06-18 08:30:00
MG0000105,LB000035,Hang nhat,48501000,2024-04-10 09:30:00,2024-06-17 14:30:00
MG0000106,LB000036,Pho thong,3306000,2024-08-29 22:45:00,2024-11-07 18:45:00
MG0000107,LB000036,Thuong gia,10275000,2024-08-08 22:45:00,2024-11-07 08:45:00
MG0000108,LB000036,Hang nhat,45980000,2024-06-27 22:45:00,2024-11-07 09:45:00
MG0000109,LB000037,Pho thong,3777000,2025-02-01 02:00:00,2025-03-24 00:00:00
MG0000110,LB000037,Thuong gia,8176000,2025-03-21 02:00:00,2025-03-23 14:00:00
MG0000111,LB000037,Hang nhat,22557000,2024-10-02 02:00:00,2025-03-23 06:00:00
MG0000112,LB000038,Pho thong,2099000,2025-08-07 08:00:00,2025-09-09 15:00:00
MG0000113,LB000038,Thuong gia,11367000,2025-05-26 08:00:00,2025-09-09 19:00:00
MG0000114,LB000038,Hang nhat,26818000,2025-04-19 08:00:00,2025-09-10 01:00:00
MG0000115,LB000039,Pho thong,3190000,2025-05-04 18:00:00,2025-08-11 22:00:00
MG0000116,LB000039,Thuong gia,6443000,2025-04-28 18:00:00,2025-08-12 08:00:00
MG0000117,LB000039,Hang nhat,27671000,2025-04-21 18:00:00,2025-08-12 03:00:00
MG0000118,LB000040,Pho thong,2787000,2024-01-05 15:45:00,2024-06-27 22:45:00
MG0000119,LB000040,Thuong gia,9185000,2024-05-13 15:45:00,2024-06-28 05:45:00
MG0000120,LB000040,Hang nhat,42737000,2024-01-15 15:45:00,2024-06-28 12:45:00
MG0000121,LB000041,Pho thong,4188000,2025-08-10 15:00:00,2025-10-12 07:00:00
MG0000122,LB000041,Thuong gia,5938000,2025-09-02 15:00:00,2025-10-12 13:00:00
MG0000123,LB000041,Hang nhat,26578000,2025-06-10 15:00:00,2025-10-12 00:00:00
MG0000124,LB000042,Pho thong,3725000,2024-06-13 21:00:00,2024-11-23 22:00:00
MG0000125,LB000042,Thuong gia,4771000,2024-07-18 21:00:00,2024-11-24 13:00:00
MG0000126,LB000042,Hang nhat,41137000,2024-05-29 21:00:00,2024-11-24 17:00:00
MG0000127,LB000043,Pho thong,2975000,2025-10-13 15:30:00,2025-12-10 16:30:00
MG0000128,LB000043,Thuong gia,8478000,2025-11-26 15:30:00,2025-12-11 11:30:00
MG0000129,LB000043,Hang nhat,34506000,2025-08-12 15:30:00,2025-12-11 00:30:00
MG0000130,LB000044,Pho thong,2673000,2025-03-07 01:45:00,2025-07-16 07:45:00
MG0000131,LB000044,Thuong gia,6110000,2025-06-04 01:45:00,2025-07-16 10:45:00
MG0000132,LB000044,Hang nhat,29384000,2025-05-12 01:45:00,2025-07-16 08:45:00
MG0000133,LB000045,Pho thong,1125000,2024-02-24 12:00:00,2024-04-27 21:00:00
MG0000134,LB000045,Thuong gia,7030000,2024-02-12 12:00:00,2024-04-28 03:00:00
MG0000135,LB000045,Hang nhat,16033000,2023-12-09 12:00:00,2024-04-28 07:00:00
MG0000136,LB000046,Pho thong,1699000,2023-11-16 06:30:00,2024-02-24 07:30:00
MG0000137,LB000046,Thuong gia,9511000,2023-11-08 06:30:00,2024-02-24 19:30:00
MG0000138,LB000046,Hang nhat,43316000,2023-11-08 06:30:00,2024-02-24 23:30:00
MG0000139,LB000047,Pho thong,2398000,2023-11-12 06:30:00,2024-02-21 11:30:00
MG0000140,LB000047,Thuong gia,12042000,2024-02-18 06:30:00,2024-02-21 20:30:00
MG0000141,LB000047,Hang nhat,18777000,2023-11-04 06:30:00,2024-02-21 14:30:00
MG0000142,LB000048,Pho thong,2433000,2024-11-30 22:45:00,2025-03-24 21:45:00
MG0000143,LB000048,Thuong gia,4981000,2024-10-01 22:45:00,2025-03-23 22:45:00
MG0000144,LB000048,Hang nhat,31365000,2024-11-22 22:45:00,2025-03-24 02:45:00
MG0000145,LB000049,Pho thong,3500000,2025-06-04 07:15:00,2025-09-15 04:15:00
MG0000146,LB000049,Thuong gia,3603000,2025-08-09 07:15:00,2025-09-15 01:15:00
MG0000147,LB000049,Hang nhat,28188000,2025-06-07 07:15:00,2025-09-15 00:15:00
MG0000148,LB000050,Pho thong,3958000,2024-11-24 02:15:00,2025-02-20 17:15:00
MG0000149,LB000050,Thuong gia,8644000,2024-11-03 02:15:00,2025-02-20 23:15:00
MG0000150,LB000050,Hang nhat,18969000,2024-10-03 02:15:00,2025-02-20 14:15:00
MG0000151,LB000051,Pho thong,4788000,2025-10-05 04:45:00,2025-10-25 03:45:00
MG0000152,LB000051,Thuong gia,4829000,2025-09-01 04:45:00,2025-10-24 08:45:00
MG0000153,LB000051,Hang nhat,14576000,2025-09-20 04:45:00,2025-10-24 06:45:00
MG0000154,LB000052,Pho thong,1876000,2024-08-09 13:45:00,2024-10-05 14:45:00
MG0000155,LB000052,Thuong gia,10287000,2024-07-01 13:45:00,2024-10-05 17:45:00
MG0000156,LB000052,Hang nhat,14324000,2024-09-04 13:45:00,2024-10-06 03:45:00
MG0000157,LB000053,Pho thong,3645000,2024-05-19 12:15:00,2024-05-27 17:15:00
MG0000158,LB000053,Thuong gia,5380000,2024-02-19 12:15:00,2024-05-27 13:15:00
MG0000159,LB000053,Hang nhat,37888000,2023-12-26 12:15:00,2024-05-28 08:15:00
MG0000160,LB000054,Pho thong,4087000,2024-02-29 02:30:00,2024-05-18 07:30:00
MG0000161,LB000054,Thuong gia,7447000,2024-02-18 02:30:00,2024-05-18 04:30:00
MG0000162,LB000054,Hang nhat,43983000,2024-01-08 02:30:00,2024-05-19 01:30:00
MG0000163,LB000055,Pho thong,4835000,2025-01-26 08:00:00,2025-06-02 18:00:00
MG0000164,LB000055,Thuong gia,4836000,2024-12-20 08:00:00,2025-06-02 09:00:00
MG0000165,LB000055,Hang nhat,42328000,2025-04-16 08:00:00,2025-06-02 12:00:00
MG0000166,LB000056,Pho thong,2629000,2025-03-29 21:45:00,2025-08-16 06:45:00
MG0000167,LB000056,Thuong gia,13221000,2025-03-15 21:45:00,2025-08-16 10:45:00
MG0000168,LB000056,Hang nhat,19755000,2025-07-22 21:45:00,2025-08-16 06:45:00
MG0000169,LB000057,Pho thong,921000,2025-01-09 11:30:00,2025-05-10 00:30:00
MG0000170,LB000057,Thuong gia,5545000,2025-02-13 11:30:00,2025-05-09 19:30:00
MG0000171,LB000057,Hang nhat,45213000,2025-03-02 11:30:00,2025-05-10 02:30:00
MG0000172,LB000058,Pho thong,4782000,2024-09-13 06:15:00,2024-11-24 13:15:00
MG0000173,LB000058,Thuong gia,7877000,2024-11-01 06:15:00,2024-11-24 06:15:00
MG0000174,LB000058,Hang nhat,29044000,2024-07-03 06:15:00,2024-11-24 07:15:00
MG0000175,LB000059,Pho thong,1191000,2024-10-19 01:30:00,2025-02-24 00:30:00
MG0000176,LB000059,Thuong gia,5920000,2024-12-27 01:30:00,2025-02-23 02:30:00
MG0000177,LB000059,Hang nhat,32139000,2024-09-05 01:30:00,2025-02-23 09:30:00
MG0000178,LB000060,Pho thong,3112000,2024-10-26 12:15:00,2025-01-24 12:15:00
MG0000179,LB000060,Thuong gia,6679000,2024-10-24 12:15:00,2025-01-25 03:15:00
MG0000180,LB000060,Hang nhat,17703000,2024-11-24 12:15:00,2025-01-24 12:15:00
MG0000181,LB000061,Pho thong,1709000,2025-07-25 10:00:00,2025-08-27 03:00:00
MG0000182,LB000061,Thuong gia,10075000,2025-04-23 10:00:00,2025-08-26 10:00:00
MG0000183,LB000061,Hang nhat,43305000,2025-04-12 10:00:00,2025-08-27 06:00:00
MG0000184,LB000062,Pho thong,1554000,2025-01-24 00:15:00,2025-04-11 12:15:00
MG0000185,LB000062,Thuong gia,3546000,2025-04-06 00:15:00,2025-04-11 15:15:00
MG0000186,LB000062,Hang nhat,47764000,2025-03-27 00:15:00,2025-04-11 01:15:00
MG0000187,LB000063,Pho thong,4465000,2024-04-15 10:45:00,2024-09-28 06:45:00
MG0000188,LB000063,Thuong gia,8745000,2024-05-02 10:45:00,2024-09-27 18:45:00
MG0000189,LB000063,Hang nhat,20099000,2024-06-30 10:45:00,2024-09-28 08:45:00
MG0000190,LB000064,Pho thong,2483000,2025-07-19 17:45:00,2025-11-21 14:45:00
MG0000191,LB000064,Thuong gia,4790000,2025-10-31 17:45:00,2025-11-21 12:45:00
MG0000192,LB000064,Hang nhat,49757000,2025-06-27 17:45:00,2025-11-21 14:45:00
MG0000193,LB000065,Pho thong,3304000,2024-01-04 19:00:00,2024-02-05 23:00:00
MG0000194,LB000065,Thuong gia,7565000,2023-08-29 19:00:00,2024-02-06 02:00:00
MG0000195,LB000065,Hang nhat,49601000,2023-10-13 19:00:00,2024-02-06 00:00:00
MG0000196,LB000066,Pho thong,4832000,2024-01-12 13:00:00,2024-04-01 17:00:00
MG0000197,LB000066,Thuong gia,5532000,2024-03-05 13:00:00,2024-04-01 16:00:00
MG0000198,LB000066,Hang nhat,19595000,2023-10-13 13:00:00,2024-04-02 07:00:00
MG0000199,LB000067,Pho thong,811000,2025-07-20 09:00:00,2025-12-11 03:00:00
MG0000200,LB000067,Thuong gia,3392000,2025-08-15 09:00:00,2025-12-10 23:00:00
MG0000201,LB000067,Hang nhat,44384000,2025-09-26 09:00:00,2025-12-10 10:00:00
MG0000202,LB000068,Pho thong,4109000,2024-10-06 11:30:00,2024-10-27 02:30:00
MG0000203,LB000068,Thuong gia,4377000,2024-05-17 11:30:00,2024-10-26 21:30:00
MG0000204,LB000068,Hang nhat,43065000,2024-08-28 11:30:00,2024-10-27 02:30:00
MG0000205,LB000069,Pho thong,4129000,2025-02-04 18:15:00,2025-02-25 12:15:00
MG0000206,LB000069,Thuong gia,4492000,2024-09-23 18:15:00,2025-02-25 03:15:00
MG0000207,LB000069,Hang nhat,26100000,2024-08-30 18:15:00,2025-02-24 19:15:00
MG0000208,LB000070,Pho thong,1138000,2024-11-15 19:15:00,2025-01-26 04:15:00
MG0000209,LB000070,Thuong gia,6868000,2025-01-13 19:15:00,2025-01-25 19:15:00
MG0000210,LB000070,Hang nhat,19157000,2024-11-20 19:15:00,2025-01-26 16:15:00
MG0000211,LB000071,Pho thong,4250000,2024-10-24 20:30:00,2025-04-16 22:30:00
MG0000212,LB000071,Thuong gia,8646000,2024-11-18 20:30:00,2025-04-17 14:30:00
MG0000213,LB000071,Hang nhat,17260000,2024-10-30 20:30:00,2025-04-17 11:30:00
MG0000214,LB000072,Pho thong,4220000,2024-11-20 09:15:00,2025-04-20 12:15:00
MG0000215,LB000072,Thuong gia,7900000,2025-03-26 09:15:00,2025-04-20 21:15:00
MG0000216,LB000072,Hang nhat,23192000,2025-01-26 09:15:00,2025-04-21 03:15:00
MG0000217,LB000073,Pho thong,3583000,2025-02-25 09:45:00,2025-08-23 23:45:00
MG0000218,LB000073,Thuong gia,4057000,2025-05-11 09:45:00,2025-08-23 18:45:00
MG0000219,LB000073,Hang nhat,48807000,2025-06-18 09:45:00,2025-08-24 05:45:00
MG0000220,LB000074,Pho thong,4451000,2024-07-22 06:45:00,2024-11-04 08:45:00
MG0000221,LB000074,Thuong gia,5251000,2024-07-07 06:45:00,2024-11-05 04:45:00
MG0000222,LB000074,Hang nhat,27682000,2024-08-02 06:45:00,2024-11-04 09:45:00
MG0000223,LB000075,Pho thong,3107000,2025-01-09 18:30:00,2025-01-25 09:30:00
MG0000224,LB000075,Thuong gia,8817000,2024-11-10 18:30:00,2025-01-24 19:30:00
MG0000225,LB000075,Hang nhat,16335000,2025-01-15 18:30:00,2025-01-24 19:30:00
MG0000226,LB000076,Pho thong,2514000,2023-09-01 21:45:00,2024-01-23 03:45:00
MG0000227,LB000076,Thuong gia,14365000,2023-11-24 21:45:00,2024-01-23 06:45:00
MG0000228,LB000076,Hang nhat,47306000,2023-08-08 21:45:00,2024-01-23 05:45:00
MG0000229,LB000077,Pho thong,4306000,2025-09-17 23:00:00,2025-12-03 09:00:00
MG0000230,LB000077,Thuong gia,9615000,2025-08-02 23:00:00,2025-12-03 08:00:00
MG0000231,LB000077,Hang nhat,30330000,2025-08-24 23:00:00,2025-12-03 03:00:00
MG0000232,LB000078,Pho thong,4045000,2024-09-13 07:30:00,2024-10-19 22:30:00
MG0000233,LB000078,Thuong gia,6206000,2024-07-03 07:30:00,2024-10-19 14:30:00
MG0000234,LB000078,Hang nhat,21942000,2024-10-17 07:30:00,2024-10-19 07:30:00
MG0000235,LB000079,Pho thong,2675000,2025-06-25 23:15:00,2025-11-25 18:15:00
MG0000236,LB000079,Thuong gia,9623000,2025-07-22 23:15:00,2025-11-25 12:15:00
MG0000237,LB000079,Hang nhat,47314000,2025-07-06 23:15:00,2025-11-25 08:15:00
MG0000238,LB000080,Pho thong,2408000,2025-09-02 01:30:00,2025-10-22 06:30:00
MG0000239,LB000080,Thuong gia,11936000,2025-07-07 01:30:00,2025-10-22 14:30:00
MG0000240,LB000080,Hang nhat,41696000,2025-07-15 01:30:00,2025-10-22 03:30:00
MG0000241,LB000081,Pho thong,4852000,2024-07-23 23:15:00,2025-01-08 07:15:00
MG0000242,LB000081,Thuong gia,13490000,2024-12-04 23:15:00,2025-01-08 19:15:00
MG0000243,LB000081,Hang nhat,46418000,2024-09-15 23:15:00,2025-01-08 06:15:00
MG0000244,LB000082,Pho thong,4458000,2025-02-23 05:15:00,2025-02-28 15:15:00
MG0000245,LB000082,Thuong gia,12378000,2025-01-18 05:15:00,2025-02-28 13:15:00
MG0000246,LB000082,Hang nhat,37708000,2024-12-21 05:15:00,2025-02-28 09:15:00
MG0000247,LB000083,Pho thong,4380000,2025-01-09 16:30:00,2025-06-27 05:30:00
MG0000248,LB000083,Thuong gia,10522000,2025-02-08 16:30:00,2025-06-27 05:30:00
MG0000249,LB000083,Hang nhat,12737000,2025-02-20 16:30:00,2025-06-26 20:30:00
MG0000250,LB000084,Pho thong,3936000,2024-11-25 09:30:00,2025-05-08 01:30:00
MG0000251,LB000084,Thuong gia,11447000,2025-01-14 09:30:00,2025-05-07 12:30:00
MG0000252,LB000084,Hang nhat,37760000,2025-04-10 09:30:00,2025-05-08 03:30:00
MG0000253,LB000085,Pho thong,4144000,2024-05-14 07:45:00,2024-05-23 20:45:00
MG0000254,LB000085,Thuong gia,8168000,2024-03-07 07:45:00,2024-05-23 19:45:00
MG0000255,LB000085,Hang nhat,37272000,2024-03-20 07:45:00,2024-05-23 12:45:00
MG0000256,LB000086,Pho thong,1132000,2024-12-21 00:30:00,2025-02-07 18:30:00
MG0000257,LB000086,Thuong gia,13954000,2024-10-31 00:30:00,2025-02-07 08:30:00
MG0000258,LB000086,Hang nhat,35516000,2024-12-31 00:30:00,2025-02-07 09:30:00
MG0000259,LB000087,Pho thong,839000,2025-07-22 23:30:00,2025-11-19 01:30:00
MG0000260,LB000087,Thuong gia,9559000,2025-07-20 23:30:00,2025-11-19 01:30:00
MG0000261,LB000087,Hang nhat,49506000,2025-10-29 23:30:00,2025-11-19 11:30:00
MG0000262,LB000088,Pho thong,1850000,2024-10-28 03:15:00,2025-01-14 04:15:00
MG0000263,LB000088,Thuong gia,13240000,2024-10-27 03:15:00,2025-01-14 14:15:00
MG0000264,LB000088,Hang nhat,32877000,2024-12-16 03:15:00,2025-01-14 14:15:00
MG0000265,LB000089,Pho thong,2040000,2025-02-28 10:15:00,2025-07-27 11:15:00
MG0000266,LB000089,Thuong gia,3097000,2025-02-07 10:15:00,2025-07-28 01:15:00
MG0000267,LB000089,Hang nhat,39807000,2025-01-31 10:15:00,2025-07-27 14:15:00
MG0000268,LB000090,Pho thong,4168000,2025-02-03 22:30:00,2025-04-20 02:30:00
MG0000269,LB000090,Thuong gia,6008000,2025-02-20 22:30:00,2025-04-20 02:30:00
MG0000270,LB000090,Hang nhat,13887000,2024-10-31 22:30:00,2025-04-20 01:30:00
MG0000271,LB000091,Pho thong,4112000,2023-09-06 01:30:00,2024-02-15 15:30:00
MG0000272,LB000091,Thuong gia,4577000,2024-02-05 01:30:00,2024-02-15 01:30:00
MG0000273,LB000091,Hang nhat,26620000,2023-11-30 01:30:00,2024-02-15 01:30:00
MG0000274,LB000092,Pho thong,4481000,2025-05-11 04:45:00,2025-07-03 10:45:00
MG0000275,LB000092,Thuong gia,6084000,2025-03-30 04:45:00,2025-07-03 22:45:00
MG0000276,LB000092,Hang nhat,44816000,2025-02-28 04:45:00,2025-07-03 04:45:00
MG0000277,LB000093,Pho thong,1391000,2025-11-12 17:45:00,2025-12-14 14:45:00
MG0000278,LB000093,Thuong gia,7389000,2025-10-15 17:45:00,2025-12-13 23:45:00
MG0000279,LB000093,Hang nhat,31463000,2025-09-01 17:45:00,2025-12-14 08:45:00
MG0000280,LB000094,Pho thong,3946000,2025-07-05 03:45:00,2025-10-31 05:45:00
MG0000281,LB000094,Thuong gia,14284000,2025-08-23 03:45:00,2025-10-31 06:45:00
MG0000282,LB000094,Hang nhat,11001000,2025-10-02 03:45:00,2025-10-31 11:45:00
MG0000283,LB000095,Pho thong,1730000,2023-09-10 22:30:00,2024-02-03 02:30:00
MG0000284,LB000095,Thuong gia,6626000,2024-01-15 22:30:00,2024-02-02 23:30:00
MG0000285,LB000095,Hang nhat,11814000,2023-10-19 22:30:00,2024-02-03 17:30:00
MG0000286,LB000096,Pho thong,1288000,2024-12-25 03:30:00,2025-01-05 11:30:00
MG0000287,LB000096,Thuong gia,8444000,2024-11-04 03:30:00,2025-01-05 14:30:00
MG0000288,LB000096,Hang nhat,39691000,2024-07-16 03:30:00,2025-01-05 08:30:00
MG0000289,LB000097,Pho thong,1216000,2024-08-28 06:00:00,2024-10-08 09:00:00
MG0000290,LB000097,Thuong gia,3393000,2024-06-03 06:00:00,2024-10-08 21:00:00
MG0000291,LB000097,Hang nhat,27788000,2024-07-04 06:00:00,2024-10-08 15:00:00
